source_id,source_class,report_disposition,report_role,representation_family,evidence_grade_at_a2,duplicate_group,duplicate_owner,parent_source_id,successor_node
PILLAR_S:I-5.1,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ANCHOR_GEOMETRY,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,
PILLAR_S:I-5.2,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ANCHOR_GEOMETRY,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,
PILLAR_S:I-5.3,EXACT_OR_CONDITIONAL,INCLUDED,CORE_THEOREM_CANDIDATE,MES_ANCHOR_GEOMETRY,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,
PILLAR_S:I-5.4,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,RESPONSE_IDENTIFIABILITY,DERIVED_AND_HISTORICAL_CAS4,,,,
PILLAR_S:VT-S1,EXACT_OR_CONDITIONAL,INCLUDED,CORE_THEOREM_CANDIDATE,STATISTICAL_INFORMATION,HISTORICAL_EXACT_TYPED_CURRENT_BINDING_REQUIRED,,,,
PILLAR_S:VT-S2,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ACCEPTANCE_BODY,HISTORICAL_EXACT_TYPED_CURRENT_BINDING_REQUIRED,,,,
PILLAR_S:VT-S4,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,FINITE_NULL_STATISTICS,HISTORICAL_EXACT_TYPED_CURRENT_BINDING_REQUIRED,,,,
PILLAR_S:VT-S7,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_FUNCTIONAL_PUSHFORWARD,HISTORICAL_EXACT_TYPED_CURRENT_BINDING_REQUIRED,,,,
PILLAR_S:VT-S8,EXACT_OR_CONDITIONAL,DEFERRED,SUCCESSOR_DEPTH_IDENTIFIABILITY,DEPTH_TOMOGRAPHY,HISTORICAL_EXACT_TYPED_CURRENT_BINDING_REQUIRED,,,,P3
PILLAR_S:VT-S3,SYNTHETIC,INCLUDED,SYNTHETIC_VALIDATION,FINITE_NULL_STATISTICS,PREREGISTERED_SYNTHETIC_ONLY,,,,
PILLAR_S:VT-S5,SYNTHETIC,DEFERRED,SUCCESSOR_PARTIAL_IDENTIFICATION,PARTIAL_IDENTIFICATION,PREREGISTERED_SYNTHETIC_ONLY,,,,P2
PILLAR_S:VT-S6,SYNTHETIC,DEFERRED,SUCCESSOR_PARTIAL_IDENTIFICATION,PARTIAL_IDENTIFICATION,PREREGISTERED_SYNTHETIC_ONLY,,,,P2
PILLAR_S:VT-S9,SYNTHETIC,INCLUDED,SYNTHETIC_VALIDATION,FINITE_NULL_STATISTICS,PREREGISTERED_SYNTHETIC_ONLY,,,,
PILLAR_S:VT-S10,SYNTHETIC,INCLUDED,SYNTHETIC_VALIDATION,RESPONSE_IDENTIFIABILITY,PREREGISTERED_SYNTHETIC_ONLY,,,,
PILLAR_S:VT-S11,SYNTHETIC,INCLUDED,SYNTHETIC_VALIDATION,RESPONSE_IDENTIFIABILITY,PREREGISTERED_SYNTHETIC_ONLY,,,,
PILLAR_S:VT-S12,SYNTHETIC,INCLUDED,SYNTHETIC_VALIDATION,STATISTICAL_INFORMATION,PREREGISTERED_SYNTHETIC_ONLY,,,,
PILLAR_S:VT-S13,SYNTHETIC,DEFERRED,SUCCESSOR_OPEN_SET_CLASSIFICATION,OPEN_SET_CLASSIFICATION,PREREGISTERED_SYNTHETIC_ONLY,,,,P3_OR_NATIVE_ATLAS
NARROW:VT-T8-LOCAL-CHART,SCOPED_CHILD,EXCLUDED,REPRESENTATION_MISMATCH,STF2_PLUS_FOUR_VECTORS,HISTORICAL_CAS4_SCOPED_CURRENT_REPLAY_INCOMPLETE,,,PILLAR_T:VT-T8,
NARROW:VT-T13-CHAIN-RULE,SCOPED_CHILD,DEFERRED,SUCCESSOR_PHYSICAL_DYNAMICS,PHYSICAL_SHEAR_DYNAMICS,HISTORICAL_CAS4_SCOPED_CURRENT_REPLAY_INCOMPLETE,,,PILLAR_T:VT-T13,P2_OR_SEPARATE_PHYSICAL_DYNAMICS
NARROW:PR190-NORMAL-VORTICITY-OBSTRUCTION,SCOPED_CHILD,EXCLUDED,OUT_OF_REPORT_SCOPE,BIANCHI_BACKGROUND_KINEMATICS,HISTORICAL_CAS4_SCOPED_CURRENT_REPLAY_INCOMPLETE,,,PILLAR_T:C-PR190-FULL-COMPARATOR-ATTAINABILITY,
NARROW:VT-S14-SYNTHETIC-POSITIVE-CELL,SCOPED_CHILD,DEFERRED,SUCCESSOR_DEPTH_IDENTIFIABILITY,DEPTH_TOMOGRAPHY,PREREGISTERED_SYNTHETIC_SCOPED_ONLY,,,PILLAR_S:VT-S14,P3
