github_pr,merged,state,draft,base,head,head_sha,commits,title,url,lineage_role
12,true,closed,false,agent/new-task-ma03-integration,agent/ma07-zero-s-novelty,5ff951407a54822445c509b564003c5eb7906ec9,4,[MA-07] Preserve honest zero-S novelty outcomes,https://github.com/cosmosapjw-quantum/htt_base/pull/12,merged_non_target_history
13,true,closed,false,agent/new-task-ma03-integration,agent/pr252-shell-alm-minislice,91e0b125bdde8696b34a9441534d7112c9a32df5,6,[PR-252] Add correlated real-sky shell alm generator,https://github.com/cosmosapjw-quantum/htt_base/pull/13,merged_non_target_history
14,true,closed,false,agent/new-task-ma03-integration,agent/ma08-import-boundaries,3d43ace737499bf2bf3c6a6b185b1eb8f9b9a03c,8,[MA-08] Freeze current major-package import boundaries,https://github.com/cosmosapjw-quantum/htt_base/pull/14,merged_non_target_history
15,true,closed,false,agent/new-task-ma03-integration,agent/ma09-common-scc-reduction,485c01dd35f7c9ac071c37924b7491b21c363008,38,[MA-09] Remove common from the major-package SCC,https://github.com/cosmosapjw-quantum/htt_base/pull/15,merged_non_target_history
16,true,closed,false,research/pr04-multicomponent,agent/final-adversarial-audit,5f34722b9ee8bdae97d0df4d7f32eca23f53129a,74,Integrate new-task science slices and MA-01–09 hardening,https://github.com/cosmosapjw-quantum/htt_base/pull/16,accepted_target_history
17,false,closed,true,agent/pr122-reject-evidence-path-aliases,agent/fix-clean-wheel-receipt-coupling,be16478033b15f6db22fc4b8b3ae14bb74e73912,11,PR-121 follow-up: decouple wheel imports from repository receipts,https://github.com/cosmosapjw-quantum/htt_base/pull/17,failed_or_nonaccepting_publication_attempt
18,false,closed,true,research/pr04-multicomponent,fix/operator-scales-branch-cache,2f22ce91e8c4487417974fd40ac787e018fe8311,1,Fix branch-sensitive operator-scale cache reuse,https://github.com/cosmosapjw-quantum/htt_base/pull/18,failed_or_nonaccepting_publication_attempt
19,false,closed,true,research/pr04-multicomponent,fix/pr182-sys-executable,dc39a67fcb5d29a854550d989e580d54161014ce,1,Make PR-182 tests use the invoking Python,https://github.com/cosmosapjw-quantum/htt_base/pull/19,failed_or_nonaccepting_publication_attempt
20,false,closed,true,research/pr04-multicomponent,fix/theta4-audit-fail-closed,46abb8b7475061279013a1432153d51b0d1d20c5,1,Fail closed when a requested theta4 HTT audit is unavailable,https://github.com/cosmosapjw-quantum/htt_base/pull/20,failed_or_nonaccepting_publication_attempt
21,false,closed,true,research/pr04-multicomponent,fix/codex-installer-spec-assets,bf5c807b96a3fea752f59e1b7c789cf33e6a2e12,1,Install specs referenced by the Codex harness context,https://github.com/cosmosapjw-quantum/htt_base/pull/21,failed_or_nonaccepting_publication_attempt
22,false,closed,true,research/pr04-multicomponent,fix/family-source-neutral-contract,d3fc5daed81ce55b94726d6e4a83583fc52582b8,1,Align family-kernel test with scalar-source neutrality,https://github.com/cosmosapjw-quantum/htt_base/pull/22,failed_or_nonaccepting_publication_attempt
23,false,closed,true,research/pr04-multicomponent,fix/python313-docstring-pins,9b5e721c3b83008c1c57d29f8d9c83e9e8c787f9,1,Stabilize observer authority docstrings on Python 3.13,https://github.com/cosmosapjw-quantum/htt_base/pull/23,failed_or_nonaccepting_publication_attempt
24,false,closed,true,research/pr04-multicomponent,fix/camb-layout-phi-expectations,ee99abb97a76e09fb9dc4ef701a7322932dc6e84,1,Fix CAMB layout expectations for the Phi state,https://github.com/cosmosapjw-quantum/htt_base/pull/24,failed_or_nonaccepting_publication_attempt
25,false,closed,true,research/pr04-multicomponent,fix/rust-benchmark-temp-output,d621810c943b14a9576ef8e24d9b86724c4c793c,1,Remove the developer-home path from the Rust C_l benchmark,https://github.com/cosmosapjw-quantum/htt_base/pull/25,failed_or_nonaccepting_publication_attempt
26,true,closed,false,research/pr04-multicomponent,fix/pr151-portable-background-resume,c0269bf5fc731081a0486a53036056d4ab786c12,3,PR-151: make finalize watcher portable,https://github.com/cosmosapjw-quantum/htt_base/pull/26,accepted_target_history
27,false,closed,true,research/pr04-multicomponent,agent/pr190-dynamical-attainability,4a2004645cad30a9583d7d9af020c651007b8941,2,PR-190: reject shear-only endpoint substitution,https://github.com/cosmosapjw-quantum/htt_base/pull/27,failed_or_nonaccepting_publication_attempt
28,false,closed,true,research/pr04-multicomponent,agent/pr204-act-inband-closure,ea7ca1fbb7749a2cf4f435f5830aca8cb91baf47,1,PR-204: preserve ACT strict-band coverage failure,https://github.com/cosmosapjw-quantum/htt_base/pull/28,failed_or_nonaccepting_publication_attempt
29,false,closed,true,research/pr04-multicomponent,agent/pr228-v10-historical-qualifier,e49903205ba180d90491a2e66ff9830be7db6c86,1,PR-228: qualify superseded v10 authority surfaces,https://github.com/cosmosapjw-quantum/htt_base/pull/29,failed_or_nonaccepting_publication_attempt
30,false,closed,true,research/pr04-multicomponent,agent/pr227-live-reproduction-check,6983e5da8c6f21bc59149133172d4d8cbf1e4a94,1,PR-227: fail closed on live reproduction drift,https://github.com/cosmosapjw-quantum/htt_base/pull/30,failed_or_nonaccepting_publication_attempt
31,false,closed,true,research/pr04-multicomponent,agent/pr226-require-complete-receipt-set,81b336c54d48dbd60038252ced63305df17f76fe,1,PR-226: fail closed on incomplete lane receipts,https://github.com/cosmosapjw-quantum/htt_base/pull/31,failed_or_nonaccepting_publication_attempt
32,false,closed,true,research/pr04-multicomponent,agent/pr225-require-upstream-terminals,a0eb792423696176c87faa09330b0c791a45bb28,1,PR-225: fail closed on missing upstream terminals,https://github.com/cosmosapjw-quantum/htt_base/pull/32,failed_or_nonaccepting_publication_attempt
33,false,closed,true,research/pr04-multicomponent,agent/pr224-kill-guard-mutations,c06025a2bced75a02dff24171ca36dc5cab5e41b,1,PR-224: make anti-drift guards observe their outputs,https://github.com/cosmosapjw-quantum/htt_base/pull/33,failed_or_nonaccepting_publication_attempt
34,false,closed,true,research/pr04-multicomponent,agent/pr223-block-stored-cas-authority,d432a7e6e8e28af9df0f13d64328939a492ab030,1,PR-223: block stored CAS status as current authority,https://github.com/cosmosapjw-quantum/htt_base/pull/34,failed_or_nonaccepting_publication_attempt
35,false,closed,true,research/pr04-multicomponent,agent/pr222-block-stored-cas-authority,8d343865630c5c9e70f055124e6636020c8ceb6b,1,PR-222: block stored CAS status as current authority,https://github.com/cosmosapjw-quantum/htt_base/pull/35,failed_or_nonaccepting_publication_attempt
36,false,closed,true,research/pr04-multicomponent,agent/pr221-symmetric-abstention-gap,d60ff7493880ed1a9ac074d4a9b9019fa84751e2,1,PR-221: apply the abstention gap symmetrically,https://github.com/cosmosapjw-quantum/htt_base/pull/36,failed_or_nonaccepting_publication_attempt
37,false,closed,true,research/pr04-multicomponent,agent/pr220-compute-duplicate-response-bf,ab5fccfc71aa2c5a8702156d31b6d56ccac3ea8c,1,PR-220: compute the duplicate-response evidence check,https://github.com/cosmosapjw-quantum/htt_base/pull/37,failed_or_nonaccepting_publication_attempt
38,false,closed,true,research/pr04-multicomponent,agent/pr219-add-observable-column,090f53024262041ffa4351740a301ddfef446988,1,PR-219: add observables on the response axis,https://github.com/cosmosapjw-quantum/htt_base/pull/38,failed_or_nonaccepting_publication_attempt
39,false,closed,true,research/pr04-multicomponent,agent/pr218-detect-copied-split-overlap,8102937890197aa48ab879da83e03a325c3ac333,1,PR-218: detect copied calibration overlap,https://github.com/cosmosapjw-quantum/htt_base/pull/39,failed_or_nonaccepting_publication_attempt
40,false,closed,true,research/pr04-multicomponent,agent/pr217-bind-live-ceiling-authority,ccbe687f02357a78059269cdba6c55753b41b765,1,PR-217: bind live ceilings to MES authority,https://github.com/cosmosapjw-quantum/htt_base/pull/40,failed_or_nonaccepting_publication_attempt
41,false,closed,true,research/pr04-multicomponent,agent/pr216-block-unverified-global-sharpness,e3df85ce198d279f461dbe90f20f2f0e4259bacb,1,PR-216: block unverified global sharpness,https://github.com/cosmosapjw-quantum/htt_base/pull/41,failed_or_nonaccepting_publication_attempt
42,false,closed,true,research/pr04-multicomponent,agent/pr215-block-stored-cas-authority,86c187be977e3ee8c77a136c224dd070b3dfaac9,1,PR-215: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/42,failed_or_nonaccepting_publication_attempt
43,false,closed,true,research/pr04-multicomponent,agent/pr214-execute-inactive-occam-mutation,502d14fee292e48612844bed73d31a4c7ed92664,1,PR-214: execute inactive Occam mutation,https://github.com/cosmosapjw-quantum/htt_base/pull/43,failed_or_nonaccepting_publication_attempt
44,false,closed,true,research/pr04-multicomponent,agent/pr213-block-self-asserted-receipt,0b04047dca68f87ba55d615a2027b626d13c0326,1,PR-213: block self-asserted receipt authority,https://github.com/cosmosapjw-quantum/htt_base/pull/44,failed_or_nonaccepting_publication_attempt
45,false,closed,true,research/pr04-multicomponent,agent/pr212-require-registered-frame-bridge,3ac05aefcf548ad33af125516bda72dc40bac496,1,PR-212: require registered frame bridges,https://github.com/cosmosapjw-quantum/htt_base/pull/45,failed_or_nonaccepting_publication_attempt
46,false,closed,true,research/pr04-multicomponent,agent/pr211-block-stored-cas-authority,151533afcc7acbedd596de5c2c2cc582a8a07f54,1,PR-211: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/46,failed_or_nonaccepting_publication_attempt
47,false,closed,true,research/pr04-multicomponent,agent/pr210-block-self-asserted-bridge,c37a71aa262524496f99cebbf09aeacf31be4230,1,PR-210: block self-asserted bridge authority,https://github.com/cosmosapjw-quantum/htt_base/pull/47,failed_or_nonaccepting_publication_attempt
48,false,closed,true,research/pr04-multicomponent,agent/pr209-contain-inventory-paths,68250c3874a888a72c246a0e4e6cacb3583773de,1,PR-209: contain legacy inventory paths,https://github.com/cosmosapjw-quantum/htt_base/pull/48,failed_or_nonaccepting_publication_attempt
49,false,closed,true,research/pr04-multicomponent,agent/pr200-measure-never-empty-gate,4460f67ebf79b42f39e19741a5a0c3a84e9d1315,1,PR-200: measure pseudotrue interval validity,https://github.com/cosmosapjw-quantum/htt_base/pull/49,failed_or_nonaccepting_publication_attempt
50,false,closed,true,research/pr04-multicomponent,agent/pr197-reject-training-row-reuse,ae33e2d81467e06ea4f32ecac7c6d6fc87e45e96,1,PR-197: reject leaked evaluation rows,https://github.com/cosmosapjw-quantum/htt_base/pull/50,failed_or_nonaccepting_publication_attempt
51,false,closed,true,research/pr04-multicomponent,agent/pr189-classify-unbounded-polytope,dd2c39784397537201b4e2cc5eefa2f89c14376d,1,PR-189: reject unbounded feasible sets,https://github.com/cosmosapjw-quantum/htt_base/pull/51,failed_or_nonaccepting_publication_attempt
52,false,closed,true,research/pr04-multicomponent,agent/pr189-block-stored-cas-authority,ef9427217c26113436bed57f2e0b54b3e6e53b79,1,PR-189: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/52,failed_or_nonaccepting_publication_attempt
53,false,closed,true,research/pr04-multicomponent,agent/pr188-block-missing-external-data,60faa22634b8a54cba8e8e4bf319afc9c5188a86,1,PR-188: block missing external data,https://github.com/cosmosapjw-quantum/htt_base/pull/53,failed_or_nonaccepting_publication_attempt
54,false,closed,true,research/pr04-multicomponent,agent/pr188-count-unique-mutations,197fef51859f7db02f06911cdaf6c2a67ab1d710,1,PR-188: count unique load-bearing mutations,https://github.com/cosmosapjw-quantum/htt_base/pull/54,failed_or_nonaccepting_publication_attempt
55,false,closed,true,research/pr04-multicomponent,agent/pr187-block-stored-cas-authority,56979a86b3979bb80ecc7e0c4fbb5c3ce86a927f,1,PR-187: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/55,failed_or_nonaccepting_publication_attempt
56,false,closed,true,research/pr04-multicomponent,agent/pr187-freeze-bridge-registry,dcf25450485a32fd6fe37ddf4c52aa0890667f10,1,PR-187: freeze canonical bridge registry,https://github.com/cosmosapjw-quantum/htt_base/pull/56,failed_or_nonaccepting_publication_attempt
57,false,closed,true,research/pr04-multicomponent,agent/pr186-block-stored-cas-authority,d788b2971174d3e718d73c0531a83975d960d70b,1,PR-186: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/57,failed_or_nonaccepting_publication_attempt
58,false,closed,true,research/pr04-multicomponent,agent/pr185-block-self-issued-receipt,91339c02c38bbb8d437fd6640c3c6acad1dab6a5,1,PR-185: block self-issued adjudication receipts,https://github.com/cosmosapjw-quantum/htt_base/pull/58,failed_or_nonaccepting_publication_attempt
59,false,closed,true,research/pr04-multicomponent,agent/pr184-validate-premise-shapes,1cdafddd18e69f3323b881184d35c9d1a6543af0,1,PR-184: validate projector premise shapes,https://github.com/cosmosapjw-quantum/htt_base/pull/59,failed_or_nonaccepting_publication_attempt
60,false,closed,true,research/pr04-multicomponent,agent/pr182-block-stored-cas-authority,9ed637e735b36d3cd4c9a9b9479e58967c27ac13,1,PR-182: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/60,failed_or_nonaccepting_publication_attempt
61,false,closed,true,research/pr04-multicomponent,agent/pr180-align-dipole-frame,7922a511f257f7b5d1f80628a6620d71e8da3332,1,PR-180: align the solar dipole frame,https://github.com/cosmosapjw-quantum/htt_base/pull/61,failed_or_nonaccepting_publication_attempt
62,false,closed,true,research/pr04-multicomponent,agent/pr177-pin-test-thread-env,1b1b07e97326942539bb59141bab4fa25efd6240,1,PR-177: pin validator test thread environment,https://github.com/cosmosapjw-quantum/htt_base/pull/62,failed_or_nonaccepting_publication_attempt
63,false,closed,true,research/pr04-multicomponent,agent/pr176-expect-retired-authority-block,45c1d11109d6d19b45a7c6f14de04429823764a8,1,PR-176: expect retired authority blocking,https://github.com/cosmosapjw-quantum/htt_base/pull/63,failed_or_nonaccepting_publication_attempt
64,false,closed,true,research/pr04-multicomponent,agent/pr175-block-stored-cas-authority,f9b44d512690c49678a39e24faa6fc6395647377,1,PR-175: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/64,failed_or_nonaccepting_publication_attempt
65,false,closed,true,research/pr04-multicomponent,agent/pr172-block-retired-source-authority,23962427b247b81247ba7aebc5ee3343e6d02931,1,PR-172: block retired source authority,https://github.com/cosmosapjw-quantum/htt_base/pull/65,failed_or_nonaccepting_publication_attempt
66,false,closed,true,research/pr04-multicomponent,agent/pr171-block-stored-cas-authority,ad30d5fd2a4075c9375008b8bc444384fd67efa1,1,PR-171: block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/66,failed_or_nonaccepting_publication_attempt
67,false,closed,true,agent/pr171-block-stored-cas-authority,agent/pr171-clean-clone-evidence,142aec62575fb6646f63ca0f1fffbeb291d803c2,1,PR-171: remove local evidence test dependency,https://github.com/cosmosapjw-quantum/htt_base/pull/67,failed_or_nonaccepting_publication_attempt
68,false,closed,true,research/pr04-multicomponent,agent/pr170-scope-candidate-source,6c176674296ebae4f7184333979bbd647b2d20c4,1,PR-170: Scope candidate source verification,https://github.com/cosmosapjw-quantum/htt_base/pull/68,failed_or_nonaccepting_publication_attempt
69,false,closed,true,agent/pr170-scope-candidate-source,agent/pr170-clean-clone-cas-fixtures,629b0ac10f919319a811cbb2c49a96c0fc177c60,1,PR-170: Replay tracked CAS fixtures in clean tests,https://github.com/cosmosapjw-quantum/htt_base/pull/69,failed_or_nonaccepting_publication_attempt
70,false,closed,true,research/pr04-multicomponent,agent/pr169-block-stored-cas-authority,43a10d37f35de4fb278cd8ad084a3b5cc9fe1850,1,PR-169: Block stored CAS authority,https://github.com/cosmosapjw-quantum/htt_base/pull/70,failed_or_nonaccepting_publication_attempt
71,false,closed,true,agent/pr169-block-stored-cas-authority,agent/pr169-clean-clone-cas-fixtures,e69ef3b98e309bee6c0bebbfcb7d846b6453beb8,1,PR-169: Replay tracked CAS fixtures in clean checks,https://github.com/cosmosapjw-quantum/htt_base/pull/71,failed_or_nonaccepting_publication_attempt
72,false,closed,true,research/pr04-multicomponent,agent/pr167-decouple-intake-snapshot,84cf6fff86aa956f6a8033e7819d3268aafcd0b0,1,PR-167: Decouple intake checks from later DAG progress,https://github.com/cosmosapjw-quantum/htt_base/pull/72,failed_or_nonaccepting_publication_attempt
73,false,closed,true,agent/pr121-scope-root-ownership-check,agent/pr119-decouple-intake-snapshot,1771e659585f4284691506c7865137e1ae4ad5aa,3,PR-119: decouple intake checks from later DAG progress,https://github.com/cosmosapjw-quantum/htt_base/pull/73,failed_or_nonaccepting_publication_attempt
74,false,closed,true,research/pr04-multicomponent,agent/pr152-clean-clone-heavy-card-tests,4b1bfbe232b5e40019ea8c0b15d2a91e7426739c,1,PR-152: isolate heavy-card validator tests,https://github.com/cosmosapjw-quantum/htt_base/pull/74,failed_or_nonaccepting_publication_attempt
75,false,closed,true,research/pr04-multicomponent,agent/pr150-clean-clone-runner-test,207cbe3a4e233328bf45b6ea57afd1f75a4ae7e8,1,PR-150: verify clean-clone runner failure,https://github.com/cosmosapjw-quantum/htt_base/pull/75,failed_or_nonaccepting_publication_attempt
76,false,closed,true,research/pr04-multicomponent,agent/pr148-scan-relocated-owner,ed1e7e225a627824455428dc61c99a514ca96919,1,PR-148: Resolve relocated live scan target,https://github.com/cosmosapjw-quantum/htt_base/pull/76,failed_or_nonaccepting_publication_attempt
77,false,closed,true,research/pr04-multicomponent,agent/pr147-scan-relocated-owner,b36762eef1dca52b90836f7715ee29ea9cc6b46c,1,PR-147: Resolve relocated live scan target,https://github.com/cosmosapjw-quantum/htt_base/pull/77,failed_or_nonaccepting_publication_attempt
78,false,closed,true,research/pr04-multicomponent,agent/pr146-scan-relocated-owner,b46598d282a186d599e373b6b3ffc34fbb1b6dc2,1,PR-146: Resolve relocated live scan target,https://github.com/cosmosapjw-quantum/htt_base/pull/78,failed_or_nonaccepting_publication_attempt
79,false,closed,true,research/pr04-multicomponent,agent/pr145-scan-relocated-owner,86bb32924ecc813dadc9c3bf51665f63b1c0e18d,1,PR-145: Resolve relocated live scan target,https://github.com/cosmosapjw-quantum/htt_base/pull/79,failed_or_nonaccepting_publication_attempt
80,false,closed,true,research/pr04-multicomponent,agent/pr124-decouple-historical-consumer-hashes,3765235be28af424ced8563e4d1245efcb3aaacb,1,PR-124: Decouple live scans from historical hashes,https://github.com/cosmosapjw-quantum/htt_base/pull/80,failed_or_nonaccepting_publication_attempt
81,false,closed,true,agent/pr124-decouple-historical-consumer-hashes,agent/pr124-block-historical-cas-authority,1f75096267de80b1f3d04ad0677891a53a98ae8d,1,PR-124: Block stored CAS replay authority,https://github.com/cosmosapjw-quantum/htt_base/pull/81,failed_or_nonaccepting_publication_attempt
82,false,closed,true,agent/pr124-use-invoking-python,agent/pr123-decouple-historical-source-hashes,aa25d0f721546f331db56582f917278a5ffcea99,2,PR-123: Decouple live checks from historical source hashes,https://github.com/cosmosapjw-quantum/htt_base/pull/82,failed_or_nonaccepting_publication_attempt
83,false,closed,true,agent/pr121-reject-archive-path-aliases,agent/pr120-decouple-active-scan-from-local-archive,e62915ce14dafe552aa69c70be40a5904a3164dd,2,PR-120 follow-up: decouple active scan from local evidence,https://github.com/cosmosapjw-quantum/htt_base/pull/83,failed_or_nonaccepting_publication_attempt
84,false,closed,true,agent/pr119-bind-receipt-pointer,agent/pr118-validate-frozen-seal-tree,eef9a4fc7ba9b0515c9d8d08541dd701cc03d47a,3,PR-117/118: validate frozen audit seal trees,https://github.com/cosmosapjw-quantum/htt_base/pull/84,failed_or_nonaccepting_publication_attempt
85,false,closed,true,agent/pr117-bind-receipt-outcomes,agent/pr116-bind-receipt-root-hashes,f3ecc35d8e1a6f29883156123a485a6fa8e354d2,2,PR-116: bind receipt hashes to baseline blobs,https://github.com/cosmosapjw-quantum/htt_base/pull/85,failed_or_nonaccepting_publication_attempt
86,false,closed,true,agent/pr114-canonicalize-archive-paths,agent/pr113-handle-negated-family-language,01734341021778adca5db72cf7c5da82acf2c357,2,PR-113: ignore explicit family-claim negation,https://github.com/cosmosapjw-quantum/htt_base/pull/86,failed_or_nonaccepting_publication_attempt
87,false,closed,true,agent/pr113-handle-negated-family-language,agent/pr112-use-active-python,943cf0974a0605533755be65a63e9c0f78bf0595,4,PR-110/111/112: use the active result-pack test interpreter,https://github.com/cosmosapjw-quantum/htt_base/pull/87,failed_or_nonaccepting_publication_attempt
88,false,closed,true,agent/pr110-reuse-stored-worktree-state,agent/pr103-reject-null-required-fields,54649b25efe4a8ea1a58b2be376279f9121949e5,2,PR-103: reject null evidence-trace fields,https://github.com/cosmosapjw-quantum/htt_base/pull/88,failed_or_nonaccepting_publication_attempt
89,false,closed,true,agent/pr103-reject-null-required-fields,agent/pr102-bind-flrw-feature-target,15156b8b2c8cac8dba76bd4fd80884896e17a0df,2,PR-102: bind FLRW null feature targets,https://github.com/cosmosapjw-quantum/htt_base/pull/89,failed_or_nonaccepting_publication_attempt
90,false,closed,true,agent/pr102-bind-flrw-feature-target,agent/pr101-reject-overlapping-redshift-bins,87d6a29d580c6d04d98cbd0661e8b443225ce529,2,PR-101: reject ambiguous redshift bins,https://github.com/cosmosapjw-quantum/htt_base/pull/90,failed_or_nonaccepting_publication_attempt
91,false,closed,true,agent/pr101-reject-overlapping-redshift-bins,agent/pr100-101-reject-negative-coherence-weights,0ca9a09e45ceae9d5a7e8f58ab0e892051d25150,2,PR-100/101: reject invalid coherence weights,https://github.com/cosmosapjw-quantum/htt_base/pull/91,failed_or_nonaccepting_publication_attempt
92,false,closed,true,research/pr04-multicomponent,agent/pr092-reject-blocked-source-status,fe6ac455923a9827d22b7fbfe9ca1d97b7fee3ed,1,PR-092: reject blocked MES branch sources,https://github.com/cosmosapjw-quantum/htt_base/pull/92,failed_or_nonaccepting_publication_attempt
93,false,closed,true,research/pr04-multicomponent,agent/pr091-verify-biposh-entry-hash,93361fc3c24f39e6b91e5fa515d482a7ab290af1,1,PR-091: verify BiPoSH entry hashes,https://github.com/cosmosapjw-quantum/htt_base/pull/93,failed_or_nonaccepting_publication_attempt
94,false,closed,true,agent/pr100-reject-invalid-isotropy-pvalues,agent/pr090-bind-orientation-scan-provenance,5532462901a950b287a54f5b3436a8373a7ae1c3,2,PR-090: bind orientation scan provenance,https://github.com/cosmosapjw-quantum/htt_base/pull/94,failed_or_nonaccepting_publication_attempt
95,false,closed,true,research/pr04-multicomponent,agent/pr084-bind-native-metadata-per-section,93d962f5a90b77363bee4260571161626abe70e6,1,PR-084: bind native metadata per section,https://github.com/cosmosapjw-quantum/htt_base/pull/95,failed_or_nonaccepting_publication_attempt
96,false,closed,true,agent/pr054-review-exceedance,agent/pr083-review-budget-ceiling,2864cccd59998c062aa0d67fd4297b27661a1dca,2,PR-083: bind ceiling transfer identity,https://github.com/cosmosapjw-quantum/htt_base/pull/96,failed_or_nonaccepting_publication_attempt
97,false,closed,true,agent/pr053-review-filling-fraction,agent/pr082-review-atlas-entry,63f0f1e992cb5223d794be331937b6d12f9649ee,72,PR-082: bind atlas transfer projection,https://github.com/cosmosapjw-quantum/htt_base/pull/97,failed_or_nonaccepting_publication_attempt
98,false,closed,true,agent/pr031-block-hard-failure-ceiling,agent/pr081-review-native-stub,542582f5a8ccd70fdcd7e0f55d2322ffb33bdc8f,78,PR-081: constrain native observable ell ranges,https://github.com/cosmosapjw-quantum/htt_base/pull/98,failed_or_nonaccepting_publication_attempt
99,false,closed,true,research/pr04-multicomponent,agent/pr080-review-external-transfer,4aa3773d4d9446433d1223c4511e2e1f3161e9c2,1,PR-080: enforce shear transfer domain,https://github.com/cosmosapjw-quantum/htt_base/pull/99,failed_or_nonaccepting_publication_attempt
100,false,closed,true,agent/pr056-review-manifest-snapshot,agent/pr076-reject-fractional-null-counts,a66a275daa3c00ce9fe9a7f16107b2ade69e9a82,2,PR-076: reject fractional null counts,https://github.com/cosmosapjw-quantum/htt_base/pull/100,failed_or_nonaccepting_publication_attempt
101,false,closed,true,agent/pr055-review-isotropy-gap,agent/pr075-review-biposh-features,0e2f18b454bd2187d70f0440b5866eea2fea7d98,2,PR-075: constrain BiPoSH ell ranges,https://github.com/cosmosapjw-quantum/htt_base/pull/101,failed_or_nonaccepting_publication_attempt
102,false,closed,true,agent/pr083-review-transfer-range,agent/pr074-review-template-fit,655f6fbd121e2f03b04f5387be76dce154b2294e,1,PR-074: validate template-fit amplitude consistency,https://github.com/cosmosapjw-quantum/htt_base/pull/102,failed_or_nonaccepting_publication_attempt
103,false,closed,true,agent/pr082-review-entry-hash,agent/pr073-review-morphology,0fc7ff3f25582d47da4144523ea5ede8fb084c72,74,PR-073: bind antipodal morphology-axis coordinates,https://github.com/cosmosapjw-quantum/htt_base/pull/103,failed_or_nonaccepting_publication_attempt
104,false,closed,true,agent/pr081-review-native-stub,agent/pr072-review-scalar-lowell,52b4fa13125c2e47a5e2f867da517db49e2bc50c,1,PR-072: reject non-integer harmonic indices,https://github.com/cosmosapjw-quantum/htt_base/pull/104,failed_or_nonaccepting_publication_attempt
105,false,closed,true,research/pr04-multicomponent,agent/pr071-review-alm-conventions,8c94881d9c6a4bc283b0beb7af34a39af7237396,1,PR-071: reject non-integral convention indices,https://github.com/cosmosapjw-quantum/htt_base/pull/105,failed_or_nonaccepting_publication_attempt
106,false,closed,true,research/pr04-multicomponent,agent/pr070-review-observable-vector,c9182c2b33d1a884bdbb75412534102537ae9de7,1,PR-070: close observable block firewall gaps,https://github.com/cosmosapjw-quantum/htt_base/pull/106,failed_or_nonaccepting_publication_attempt
